series_id,game_num,blue_team,red_team,team,opp_team,side,player,champion,draft_champion,role,pick_order,pick_turn_global,pick_phase,win,result
2882830,1,GMB,CG,GMB,CG,Blue,Mario,DrMundo,Kai'Sa,JGL,4,10.0,1.0,True,Win
2882830,1,GMB,CG,GMB,CG,Blue,Dejavu,Syndra,K'Sante,MID,5,11.0,1.0,True,Win
2882830,1,GMB,CG,CG,GMB,Red,Bisgaard,Akali,Akali,MID,6,12.0,1.0,False,Loss
2882830,1,GMB,CG,CG,GMB,Red,Piskhello,Corki,Neeko,BOT,7,17.0,2.0,False,Loss
2882830,1,GMB,CG,GMB,CG,Blue,Rharesh,Kaisa,Nautilus,BOT,8,18.0,2.0,True,Win
2882830,1,GMB,CG,GMB,CG,Blue,Shredder,Nautilus,Dr. Mundo,SUP,9,19.0,2.0,True,Win
2882830,1,GMB,CG,CG,GMB,Red,CENTU,Neeko,Jarvan IV,SUP,10,20.0,2.0,False,Loss
2882830,2,GMB,CG,GMB,CG,Blue,Dadan,Gnar,Yunara,TOP,1,7.0,1.0,False,Loss
2882830,2,GMB,CG,CG,GMB,Red,TheMountain,Ornn,Ornn,TOP,2,8.0,1.0,True,Win
2882830,2,GMB,CG,CG,GMB,Red,Fragola,Malphite,Aphelios,JGL,3,9.0,1.0,True,Win
2882830,2,GMB,CG,GMB,CG,Blue,Mario,Pantheon,Gnar,JGL,4,10.0,1.0,False,Loss
2882830,2,GMB,CG,GMB,CG,Blue,Dejavu,Anivia,Pantheon,MID,5,11.0,1.0,False,Loss
2882830,2,GMB,CG,CG,GMB,Red,Bisgaard,Hwei,Malphite,MID,6,12.0,1.0,True,Win
2882830,2,GMB,CG,CG,GMB,Red,Piskhello,Aphelios,Rell,BOT,7,17.0,2.0,True,Win
2882830,2,GMB,CG,GMB,CG,Blue,Rharesh,Yunara,Braum,BOT,8,18.0,2.0,False,Loss
2882830,2,GMB,CG,GMB,CG,Blue,Shredder,Braum,Anivia,SUP,9,19.0,2.0,False,Loss
2882830,2,GMB,CG,CG,GMB,Red,CENTU,Rell,Hwei,SUP,10,20.0,2.0,True,Win
2882830,3,CG,GMB,CG,GMB,Blue,TheMountain,Rumble,Ryze,TOP,1,7.0,1.0,True,Win
2882830,3,CG,GMB,GMB,CG,Red,Dadan,Swain,Varus,TOP,2,8.0,1.0,False,Loss
2882830,3,CG,GMB,GMB,CG,Red,Mario,Vi,Vi,JGL,3,9.0,1.0,False,Loss
2882830,3,CG,GMB,CG,GMB,Blue,Fragola,Nocturne,Rumble,JGL,4,10.0,1.0,True,Win
2882830,3,CG,GMB,CG,GMB,Blue,Bisgaard,Ryze,Nocturne,MID,5,11.0,1.0,True,Win
2882830,3,CG,GMB,GMB,CG,Red,Dejavu,Ahri,Ahri,MID,6,12.0,1.0,False,Loss
2882830,3,CG,GMB,GMB,CG,Red,Rharesh,Varus,Swain,BOT,7,17.0,2.0,False,Loss
2882830,3,CG,GMB,CG,GMB,Blue,Piskhello,Jhin,Jhin,BOT,8,18.0,2.0,True,Win
2882830,3,CG,GMB,CG,GMB,Blue,CENTU,Alistar,Alistar,SUP,9,19.0,2.0,True,Win
2882830,3,CG,GMB,GMB,CG,Red,Shredder,Thresh,Thresh,SUP,10,20.0,2.0,False,Loss
2882830,4,CG,GMB,CG,GMB,Blue,TheMountain,Yorick,Aurora,TOP,1,7.0,1.0,True,Win
2882830,4,CG,GMB,GMB,CG,Red,Dadan,Renekton,Smolder,TOP,2,8.0,1.0,False,Loss
2882830,4,CG,GMB,GMB,CG,Red,Mario,Sejuani,Taliyah,JGL,3,9.0,1.0,False,Loss
2882830,4,CG,GMB,CG,GMB,Blue,Fragola,Morgana,Ezreal,JGL,4,10.0,1.0,True,Win
2882830,4,CG,GMB,CG,GMB,Blue,Bisgaard,Aurora,Leona,MID,5,11.0,1.0,True,Win
2882830,4,CG,GMB,GMB,CG,Red,Dejavu,Taliyah,Rakan,MID,6,12.0,1.0,False,Loss
2882830,4,CG,GMB,GMB,CG,Red,Rharesh,Smolder,Sejuani,BOT,7,17.0,2.0,False,Loss
2882830,4,CG,GMB,CG,GMB,Blue,Piskhello,Ezreal,Morgana,BOT,8,18.0,2.0,True,Win
2882830,4,CG,GMB,CG,GMB,Blue,CENTU,Leona,Yorick,SUP,9,19.0,2.0,True,Win
2882830,4,CG,GMB,GMB,CG,Red,Shredder,Rakan,Renekton,SUP,10,20.0,2.0,False,Loss
2883360,1,DK,DRX,DRX,DK,Red,Rich,Kennen,Orianna,TOP,1,7.0,1.0,True,Win
2883360,1,DK,DRX,DK,DRX,Blue,Siwoo,Jayce,Ambessa,TOP,2,8.0,1.0,False,Loss
2883360,1,DK,DRX,DK,DRX,Blue,Lucid,Ambessa,Bard,JGL,3,9.0,1.0,False,Loss
2883360,1,DK,DRX,DRX,DK,Red,Willer,XinZhao,Nautilus,JGL,4,10.0,1.0,True,Win
2883360,1,DK,DRX,DRX,DK,Red,Ucal,Orianna,Corki,MID,5,11.0,1.0,True,Win
2883360,1,DK,DRX,DK,DRX,Blue,ShowMaker,Azir,Azir,MID,6,12.0,1.0,False,Loss
2883360,1,DK,DRX,DK,DRX,Blue,Smash,Jhin,Jhin,BOT,7,17.0,2.0,False,Loss
2883360,1,DK,DRX,DRX,DK,Red,Jiwoo,Corki,Xin Zhao,BOT,8,18.0,2.0,True,Win
2883360,1,DK,DRX,DRX,DK,Red,Andil,Nautilus,Kennen,SUP,9,19.0,2.0,True,Win
2883360,1,DK,DRX,DK,DRX,Blue,Career,Bard,Jayce,SUP,10,20.0,2.0,False,Loss
2883360,2,DK,DRX,DRX,DK,Red,Rich,Aurora,Yunara,TOP,1,7.0,1.0,False,Loss
2883360,2,DK,DRX,DK,DRX,Blue,Siwoo,Gnar,Ashe,TOP,2,8.0,1.0,True,Win
2883360,2,DK,DRX,DK,DRX,Blue,Lucid,DrMundo,Dr. Mundo,JGL,3,9.0,1.0,True,Win
2883360,2,DK,DRX,DRX,DK,Red,Willer,Zaahen,Aurora,JGL,4,10.0,1.0,False,Loss
2883360,2,DK,DRX,DRX,DK,Red,Ucal,Sylas,Karma,MID,5,11.0,1.0,False,Loss
2883360,2,DK,DRX,DK,DRX,Blue,ShowMaker,Zoe,Seraphine,MID,6,12.0,1.0,True,Win
2883360,2,DK,DRX,DK,DRX,Blue,Smash,Ashe,Gnar,BOT,7,17.0,2.0,True,Win
2883360,2,DK,DRX,DRX,DK,Red,Jiwoo,Yunara,Sylas,BOT,8,18.0,2.0,False,Loss
2883360,2,DK,DRX,DRX,DK,Red,Andil,Karma,Zaahen,SUP,9,19.0,2.0,False,Loss
2883360,2,DK,DRX,DK,DRX,Blue,Career,Seraphine,Zoe,SUP,10,20.0,2.0,True,Win
2883360,3,DK,DRX,DRX,DK,Red,Rich,Renekton,Ryze,TOP,1,7.0,1.0,True,Win
2883360,3,DK,DRX,DK,DRX,Blue,Siwoo,KSante,Varus,TOP,2,8.0,1.0,False,Loss
2883360,3,DK,DRX,DK,DRX,Blue,Lucid,Nocturne,Nocturne,JGL,3,9.0,1.0,False,Loss
2883360,3,DK,DRX,DRX,DK,Red,Willer,Olaf,Sivir,JGL,4,10.0,1.0,True,Win
2883360,3,DK,DRX,DRX,DK,Red,Ucal,Ryze,Renekton,MID,5,11.0,1.0,True,Win
2883360,3,DK,DRX,DK,DRX,Blue,ShowMaker,Viktor,Alistar,MID,6,12.0,1.0,False,Loss
2883360,3,DK,DRX,DK,DRX,Blue,Smash,Varus,K'Sante,BOT,7,17.0,2.0,False,Loss
2883360,3,DK,DRX,DRX,DK,Red,Jiwoo,Sivir,Olaf,BOT,8,18.0,2.0,True,Win
2883360,3,DK,DRX,DRX,DK,Red,Andil,Poppy,Poppy,SUP,9,19.0,2.0,True,Win
2883360,3,DK,DRX,DK,DRX,Blue,Career,Alistar,Viktor,SUP,10,20.0,2.0,False,Loss
